f1,f2,f3,f4,f5,f6,f7,class
11.18,12.72,0.868,5.009,2.81,4.051,4.828,3
12.7,13.41,0.8874,5.183,3.091,8.456,5,3
12.37,13.47,0.8567,5.204,2.96,3.919,5.001,3
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,3
11.23,12.88,0.8511,5.14,2.795,4.325,5.003,3
13.2,13.66,0.8883,5.236,3.232,8.315,5.056,3
11.84,13.21,0.8521,5.175,2.836,3.598,5.044,3
12.3,13.34,0.8684,5.243,2.974,5.637,5.063,3
18.3,15.89,0.9108,5.979,3.755,2.837,5.962,2
18.94,16.32,0.8942,6.144,3.825,2.908,5.949,2
15.38,14.9,0.8706,5.884,3.268,4.462,5.795,2
16.16,15.33,0.8644,5.845,3.395,4.266,5.795,2
15.56,14.89,0.8823,5.776,3.408,4.972,5.847,2
15.38,14.66,0.899,5.477,3.465,3.6,5.439,2
17.36,15.76,0.8785,6.145,3.574,3.526,5.971,2
15.57,15.15,0.8527,5.92,3.231,2.64,5.879,2
15.6,15.11,0.858,5.832,3.286,2.725,5.752,2
16.23,15.18,0.885,5.872,3.472,3.769,5.922,2
11.42,12.86,0.8683,5.008,2.85,2.7,4.607,1
11.23,12.63,0.884,4.902,2.879,2.269,4.703,1
12.36,13.19,0.8923,5.076,3.042,3.22,4.605,1
13.22,13.84,0.868,5.395,3.07,4.157,5.088,1
12.78,13.57,0.8716,5.262,3.026,1.176,4.782,1
12.88,13.5,0.8879,5.139,3.119,2.352,4.607,1
14.34,14.37,0.8726,5.63,3.19,1.313,5.15,1
14.01,14.29,0.8625,5.609,3.158,2.217,5.132,1
14.37,14.39,0.8726,5.569,3.153,1.464,5.3,1
12.73,13.75,0.8458,5.412,2.882,3.533,5.067,1
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,1
14.28,14.17,0.8944,5.397,3.298,6.685,5.001,1
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,1
13.5,13.85,0.8852,5.351,3.158,2.249,5.176,1
13.16,13.55,0.9009,5.138,3.201,2.461,4.783,1
15.5,14.86,0.882,5.877,3.396,4.711,5.528,1
18.76,16.2,0.8984,6.172,3.796,3.12,6.053,2
18.81,16.29,0.8906,6.272,3.693,3.237,6.053,2
18.59,16.05,0.9066,6.037,3.86,6.001,5.877,2
18.36,16.52,0.8452,6.666,3.485,4.933,6.448,2
16.87,15.65,0.8648,6.139,3.463,3.696,5.967,2
19.31,16.59,0.8815,6.341,3.81,3.477,6.238,2
18.98,16.57,0.8687,6.449,3.552,2.144,6.453,2
18.17,16.26,0.8637,6.271,3.512,2.853,6.273,2
11.41,12.95,0.856,5.09,2.775,4.957,4.825,3
12.46,13.41,0.8706,5.236,3.017,4.987,5.147,3
12.19,13.36,0.8579,5.24,2.909,4.857,5.158,3
11.65,13.07,0.8575,5.108,2.85,5.209,5.135,3
12.89,13.77,0.8541,5.495,3.026,6.185,5.316,3
11.56,13.31,0.8198,5.363,2.683,4.062,5.182,3
11.81,13.45,0.8198,5.413,2.716,4.898,5.352,3
10.91,12.8,0.8372,5.088,2.675,4.179,4.956,3
14.7,14.21,0.9153,5.205,3.466,1.767,4.649,1
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,1
14.16,14.4,0.8584,5.658,3.129,3.072,5.176,1
14.11,14.26,0.8722,5.52,3.168,2.688,5.219,1
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,2
16.84,15.67,0.8623,5.998,3.484,4.675,5.877,2
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,2
19.11,16.26,0.9081,6.154,3.93,2.936,6.079,2
12.49,13.46,0.8658,5.267,2.967,4.421,5.002,3
12.7,13.71,0.8491,5.386,2.911,3.26,5.316,3
10.79,12.93,0.8107,5.317,2.648,5.462,5.194,3
11.83,13.23,0.8496,5.263,2.84,5.195,5.307,3
